CustomerName,ProductSpecifics,DeliverySchedule,SteelWirePrice,PowderPaintCost,ElectricityCost,MarketDemand,Quantity,Profit(%),BasePrice,SalesPrice,ProposalPrice,CustomerReturn
Wright and Sons,Welded Wire Fence,2023-04-19,602.72,2.3,86.23,75,2,12,710.0,795.2,1590.4,Accepted
Miller PLC,Welded Wire Fence,2023-01-27,603.48,3.8,99.33,50,79,7,719.11,769.4477,60786.3683,Accepted
Washington-Thompson,Welded Wire Fence,2023-07-17,628.3,3.12,81.8,100,112,12,738.2199999999999,826.8063999999999,92602.3168,Rejected
Mccormick PLC,Welded Wire Fence,2023-12-08,604.12,2.32,87.29,50,144,7,706.23,755.6661,108815.91840000001,Negotiation
Merritt-Knight,Welded Wire Fence,2023-06-13,613.35,2.82,81.96,100,64,12,723.1300000000001,809.9056000000002,51833.95840000001,Negotiation
Garrett Group,Welded Wire Fence,2023-11-26,604.25,2.86,93.65,75,3,12,719.51,805.8512,2417.5535999999997,Rejected
King-Livingston,Welded Wire Fence,2023-07-10,612.4,2.1,82.92,100,143,12,722.42,809.1103999999999,115702.78719999999,Accepted
Harris Brown and Duncan,Welded Wire Fence,2023-11-19,608.59,2.97,94.72,75,2,12,725.0300000000001,812.0336000000001,1624.0672000000002,Accepted
Lopez-Wells,Welded Wire Fence,2023-02-19,593.48,2.23,94.61,50,5,12,702.82,787.1584,3935.7920000000004,Negotiation
Freeman Simon and Aguilar,Welded Wire Fence,2023-06-13,621.67,3.64,94.57,100,9,10,744.8799999999999,819.3679999999999,7374.312,Rejected
Perez James and Wright,Welded Wire Fence,2023-12-07,602.98,2.96,98.49,50,142,7,716.9300000000001,767.1151000000001,108930.3442,Accepted
Kemp Downs and Mccall,Welded Wire Fence,2023-04-23,604.81,2.24,85.17,75,97,12,710.9699999999999,796.2864,77239.7808,Accepted
Humphrey-Velasquez,Welded Wire Fence,2023-07-02,609.78,3.87,86.49,100,123,12,725.14,812.1568,99895.2864,Rejected
Lozano Hansen and Hughes,Welded Wire Fence,2023-09-30,612.92,3.51,88.26,100,26,10,729.6899999999999,802.6589999999999,20869.134,Accepted
Riley Ray and Hughes,Welded Wire Fence,2023-02-27,591.52,2.64,80.23,50,130,7,686.89,734.9723,95546.399,Negotiation
Robertson Mitchell and Freeman,Welded Wire Fence,2023-06-18,615.16,2.89,98.16,100,10,10,741.2099999999999,815.3309999999999,8153.3099999999995,Accepted
Jones-Chavez,Welded Wire Fence,2023-04-24,604.82,2.19,88.49,75,112,12,714.2500000000001,799.9600000000002,89595.52000000002,Negotiation
Kidd Myers and Parker,Welded Wire Fence,2023-10-27,600.76,2.01,80.67,75,79,12,702.1899999999999,786.4527999999999,62129.771199999996,Accepted
Hawkins Johnson and Sutton,Welded Wire Fence,2023-05-06,600.39,2.62,89.89,75,95,12,711.65,797.048,75719.56,Negotiation
Stewart and Sons,Welded Wire Fence,2023-07-21,601.88,2.57,85.98,100,77,12,715.4300000000001,801.2816,61698.6832,Rejected
Olsen Caldwell and Nguyen,Welded Wire Fence,2023-02-22,601.41,3.97,85.2,50,110,7,703.08,752.2956,82752.516,Accepted
Dickerson-Frazier,Welded Wire Fence,2023-05-19,608.24,2.61,99.45,75,47,12,729.0500000000001,816.5360000000001,38377.192,Rejected
Freeman Estrada and Brooks,Welded Wire Fence,2023-05-25,605.87,2.12,82.63,75,61,12,709.37,794.4944,48464.1584,Rejected
Flores Park and Harris,Welded Wire Fence,2023-06-02,615.36,2.71,86.85,100,13,10,729.9200000000001,802.912,10437.856,Rejected
Juarez-Monroe,Welded Wire Fence,2023-08-31,617.6,2.11,98.4,100,7,10,743.11,817.421,5721.947,Negotiation
Fisher-Miller,Welded Wire Fence,2023-08-25,622.87,3.01,85.92,100,49,10,736.8,810.48,39713.520000000004,Accepted
Flores-Johnson,Welded Wire Fence,2023-12-08,601.05,2.08,97.77,50,115,7,713.4,763.338,87783.87,Accepted
Ford-Williams,Welded Wire Fence,2023-01-24,595.11,3.55,97.06,50,72,7,708.22,757.7954,54561.2688,Negotiation
Ingram Stephenson and Dean,Welded Wire Fence,2023-09-24,600.03,2.16,92.6,100,12,10,719.79,791.769,9501.228,Rejected
Ramirez Smith and Mays,Welded Wire Fence,2023-06-23,620.08,2.61,98.4,100,113,12,746.09,835.6208,94425.1504,Negotiation
Christian-Clayton,Welded Wire Fence,2023-05-21,605.61,2.04,80.53,75,41,12,706.93,791.7615999999999,32462.225599999998,Rejected
Cruz Ltd,Welded Wire Fence,2023-10-08,605.94,3.08,94.01,75,13,12,721.7800000000001,808.3936000000001,10509.116800000002,Rejected
Wise-Nelson,Welded Wire Fence,2023-04-03,604.78,3.31,99.22,75,145,12,726.06,813.1872,117912.144,Negotiation
Anthony Thomas and Villa,Welded Wire Fence,2023-11-05,600.44,2.07,92.48,75,127,12,713.7400000000001,799.3888000000002,101522.37760000002,Rejected
Pollard-Webb,Welded Wire Fence,2023-05-12,602.94,2.61,87.49,75,80,12,711.7900000000001,797.2048000000001,63776.384000000005,Accepted
Meyer Woodward and Davis,Welded Wire Fence,2023-11-30,609.2,3.76,81.59,75,143,12,713.3000000000001,798.8960000000001,114242.12800000001,Negotiation
Hernandez-Hunter,Welded Wire Fence,2023-09-23,606.92,2.31,81.56,100,142,12,715.79,801.6848,113839.2416,Negotiation
Finley LLC,Welded Wire Fence,2023-09-18,608.21,2.38,85.25,100,4,10,720.84,792.924,3171.696,Rejected
Woods Group,Welded Wire Fence,2023-08-18,617.82,2.94,84.79,100,33,10,730.5500000000001,803.605,26518.965,Rejected
Bishop-Garcia,Welded Wire Fence,2024-01-07,605.42,3.03,88.08,50,121,7,709.03,758.6621,91798.1141,Accepted
Miles Huang and Sampson,Welded Wire Fence,2023-12-16,603.82,3.64,86.45,50,16,12,706.4100000000001,791.1792,12658.8672,Accepted
Joyce-Soto,Welded Wire Fence,2023-09-20,604.85,2.2,94.96,100,63,12,727.0100000000001,814.2512000000002,51297.82560000001,Rejected
Santiago Evans and Obrien,Welded Wire Fence,2023-04-16,604.89,3.94,99.76,75,66,12,727.34,814.6208,53764.9728,Negotiation
Johnson Johnson and Wilson,Welded Wire Fence,2023-07-18,635.93,2.09,80.44,100,11,10,743.46,817.806,8995.866,Negotiation
Wilson LLC,Welded Wire Fence,2023-02-28,592.69,3.15,95.84,50,54,7,704.1800000000001,753.4726,40687.5204,Rejected
Andersen Gill and Robertson,Welded Wire Fence,2023-08-18,626.37,3.89,96.44,100,31,10,751.7,826.87,25632.97,Negotiation
Ball Holmes and Brown,Welded Wire Fence,2023-03-22,605.15,2.65,80.32,75,16,12,706.8699999999999,791.6943999999999,12667.110399999998,Negotiation
Schaefer Group,Welded Wire Fence,2023-05-18,606.61,2.86,84.6,75,32,12,712.82,798.3584000000001,25547.468800000002,Accepted
Orr Townsend and Lin,Welded Wire Fence,2023-03-18,607.3,3.89,86.52,75,103,12,716.4599999999999,802.4351999999999,82650.82559999998,Rejected
Tyler and Sons,Welded Wire Fence,2023-12-17,605.34,2.85,92.29,50,44,12,712.98,798.5376,35135.6544,Accepted
Cruz Group,Welded Wire Fence,2023-05-01,604.76,2.01,98.7,75,44,12,724.22,811.1264,35689.5616,Accepted
Ballard Group,Welded Wire Fence,2023-11-10,605.05,3.23,94.25,75,104,12,721.28,807.8335999999999,84014.6944,Negotiation
Lee-Goodwin,Welded Wire Fence,2023-06-06,603.57,3.72,95.9,100,67,12,728.19,815.5728,54643.3776,Accepted
Gentry Inc,Welded Wire Fence,2023-02-11,599.28,3.46,83.68,50,29,12,698.9200000000001,782.7904000000001,22700.9216,Rejected
Brown Spencer and Collins,Welded Wire Fence,2023-08-28,635.48,3.17,95.89,100,116,12,759.54,850.6848,98679.4368,Negotiation
Hutchinson-Sawyer,Welded Wire Fence,2023-07-18,612.85,2.89,85.95,100,120,12,726.69,813.8928000000001,97667.13600000001,Accepted
Stephens Booth and Chen,Welded Wire Fence,2024-01-05,602.85,2.62,88.68,50,133,7,706.6500000000001,756.1155000000001,100563.36150000001,Rejected
Coleman-Jones,Welded Wire Fence,2023-02-08,597.08,2.63,98.2,50,17,12,710.4100000000001,795.6592,13526.206400000001,Negotiation
Shah Group,Welded Wire Fence,2023-07-22,618.25,3.35,96.88,100,135,12,743.48,832.6976,112414.17599999999,Negotiation
Alvarado-Anderson,Welded Wire Fence,2023-12-12,609.99,2.42,89.54,50,92,7,714.4499999999999,764.4614999999999,70330.45799999998,Negotiation
Davenport LLC,Welded Wire Fence,2023-10-31,601.99,2.95,86.45,75,29,12,710.1400000000001,795.3568000000001,23065.347200000004,Accepted
Yang-Benson,Welded Wire Fence,2023-03-01,606.75,3.75,93.0,75,98,12,722.25,808.92,79274.15999999999,Negotiation
Bradshaw-Smith,Welded Wire Fence,2023-10-31,602.07,3.89,95.54,75,108,12,720.25,806.6800000000001,87121.44,Rejected
Barnes-Wilson,Welded Wire Fence,2023-04-27,606.82,3.45,93.78,75,138,12,722.8000000000001,809.5360000000001,111715.96800000001,Accepted
Church and Sons,Welded Wire Fence,2023-05-26,608.36,3.88,95.9,75,13,12,726.89,814.1168,10583.5184,Negotiation
Guerrero Inc,Welded Wire Fence,2023-05-22,607.56,2.09,90.44,75,7,12,718.8399999999999,805.1007999999999,5635.705599999999,Negotiation
Chan Keith and Austin,Welded Wire Fence,2023-09-10,603.52,3.62,83.85,100,108,12,715.99,801.9088,86606.1504,Accepted
Hernandez Martin and Nash,Welded Wire Fence,2023-04-01,600.3,3.55,93.27,75,39,12,715.8699999999999,801.7743999999999,31269.201599999997,Negotiation
Logan-Flores,Welded Wire Fence,2023-03-05,607.06,3.33,95.99,75,138,12,725.13,812.1456,112076.0928,Rejected
Glass Johnson and Walker,Welded Wire Fence,2023-08-04,638.08,2.45,83.73,100,123,12,749.2600000000001,839.1712000000001,103218.05760000001,Accepted
Lewis Alexander and Bean,Welded Wire Fence,2024-01-10,591.22,2.14,98.32,50,148,7,704.1800000000001,753.4726,111513.94480000001,Rejected
Alexander-Neal,Welded Wire Fence,2023-10-23,601.17,3.05,96.05,75,19,12,719.0199999999999,805.3023999999998,15300.745599999997,Negotiation
Pham-Buck,Welded Wire Fence,2023-03-09,604.63,2.72,97.82,75,97,12,723.9200000000001,810.7904000000001,78646.66880000001,Negotiation
Thomas-Jones,Welded Wire Fence,2023-07-04,619.16,3.12,90.23,100,38,10,737.51,811.261,30827.917999999998,Accepted
Shannon Marshall and Williams,Welded Wire Fence,2023-04-28,604.15,2.1,94.82,75,116,12,719.8199999999999,806.1984,93519.0144,Accepted
Barrett Arnold and Bush,Welded Wire Fence,2023-09-04,604.24,2.46,99.98,100,42,10,731.6800000000001,804.8480000000001,33803.616,Accepted
Floyd Inc,Welded Wire Fence,2023-04-12,606.61,3.18,89.74,75,92,12,718.28,804.4736,74011.5712,Negotiation
Moore-Miller,Welded Wire Fence,2023-11-03,602.28,3.7,94.34,75,2,12,719.07,805.3584000000001,1610.7168000000001,Accepted
King PLC,Welded Wire Fence,2023-02-22,598.48,3.25,80.7,50,120,7,694.9300000000001,743.5751,89229.012,Rejected
Smith Ltd,Welded Wire Fence,2023-02-20,598.74,2.5,93.09,50,124,7,706.83,756.3081000000001,93782.20440000002,Rejected
Hernandez Walker and Smith,Welded Wire Fence,2023-10-24,600.64,2.82,93.3,75,28,12,715.51,801.3712,22438.393600000003,Accepted
Carney Moore and West,Welded Wire Fence,2023-07-14,618.18,2.42,92.07,100,25,10,737.6699999999998,811.4369999999999,20285.924999999996,Rejected
Lee Ltd,Welded Wire Fence,2023-10-25,609.48,3.89,86.14,75,143,12,718.26,804.4512,115036.5216,Accepted
Logan Thompson and Cabrera,Welded Wire Fence,2023-09-16,615.62,3.73,86.5,100,19,10,730.85,803.9350000000001,15274.765000000001,Accepted
Aguilar Schneider and Moon,Welded Wire Fence,2023-04-16,609.97,2.58,81.26,75,105,12,712.5600000000001,798.0672000000001,83797.05600000001,Rejected
Powell Peterson and Little,Welded Wire Fence,2023-09-27,631.99,3.31,87.39,100,25,10,747.6899999999999,822.459,20561.475,Accepted
Bray Keller and Ward,Welded Wire Fence,2023-06-18,615.35,2.16,85.98,100,53,12,728.49,815.9088,43243.1664,Accepted
Harris-Gibson,Welded Wire Fence,2023-01-30,596.21,2.59,83.74,50,89,7,695.0400000000001,743.6928,66188.65920000001,Rejected
Meyers-Bradshaw,Welded Wire Fence,2023-02-06,602.6,3.7,91.43,50,10,12,710.23,795.4576,7954.575999999999,Accepted
Butler PLC,Welded Wire Fence,2023-04-05,609.44,3.24,84.46,75,92,12,715.8900000000001,801.7968000000001,73765.3056,Negotiation
Carpenter Sharp and Miller,Welded Wire Fence,2023-10-22,603.5,2.6,99.06,75,45,12,723.9100000000001,810.7792000000001,36485.064000000006,Negotiation
Arnold PLC,Welded Wire Fence,2023-04-21,605.88,3.98,94.76,75,146,12,723.37,810.1744,118285.4624,Rejected
Hines Inc,Welded Wire Fence,2023-07-27,605.53,2.74,90.2,100,56,12,723.47,810.2864,45376.0384,Accepted
Wolf and Sons,Welded Wire Fence,2023-05-04,601.59,2.21,91.87,75,134,12,714.4200000000001,800.1504000000001,107220.15360000002,Negotiation
Carlson-Fletcher,Welded Wire Fence,2023-10-18,604.77,3.18,83.0,75,68,12,709.6999999999999,794.8639999999999,54050.75199999999,Accepted
Shepherd and Sons,Welded Wire Fence,2023-08-12,631.67,3.2,99.44,100,36,10,759.31,835.241,30068.676,Accepted
Evans Group,Welded Wire Fence,2023-10-23,606.14,3.76,83.14,75,12,12,711.79,797.2048,9566.4576,Rejected
Watkins-Mason,Welded Wire Fence,2024-01-07,606.7,3.4,85.65,50,55,7,708.25,757.8275,41680.5125,Rejected
Jackson Fleming and Hoffman,Welded Wire Fence,2023-03-04,608.06,3.77,99.36,75,77,12,729.9399999999999,817.5328,62950.02559999999,Rejected
Munoz Kemp and Green,Welded Wire Fence,2023-05-16,602.57,3.35,97.71,75,133,12,722.3800000000001,809.0656000000001,107605.72480000001,Rejected
Lee and Sons,Welded Wire Fence,2023-06-23,602.72,2.4,96.46,100,33,10,726.58,799.238,26374.854000000003,Rejected
Bentley LLC,Welded Wire Fence,2023-09-29,610.35,3.91,98.54,100,19,10,737.8,811.5799999999999,15420.019999999999,Negotiation
Aguilar Schmidt and Conrad,Welded Wire Fence,2023-07-02,621.38,2.4,99.05,100,16,10,747.8299999999999,822.6129999999999,13161.807999999999,Accepted
Gomez LLC,Welded Wire Fence,2023-10-17,601.98,3.16,98.31,75,81,12,722.2,808.864,65517.984000000004,Negotiation
Porter Ltd,Welded Wire Fence,2023-07-27,637.87,3.15,92.24,100,99,12,758.26,849.2511999999999,84075.8688,Negotiation
Ruiz-Phelps,Welded Wire Fence,2023-07-26,633.25,2.8,92.97,100,99,12,754.02,844.5024,83605.7376,Negotiation
Craig-Carr,Welded Wire Fence,2023-09-12,617.17,2.47,86.69,100,107,12,731.3299999999999,819.0895999999999,87642.5872,Accepted
Mitchell-Fitzgerald,Welded Wire Fence,2023-09-16,633.06,3.51,99.2,100,69,12,760.77,852.0624,58792.3056,Rejected
Horn-Martinez,Welded Wire Fence,2023-04-24,609.58,2.59,82.08,75,94,12,713.0000000000001,798.5600000000002,75064.64000000001,Negotiation
Smith Gomez and Schneider,Welded Wire Fence,2023-09-26,634.71,3.05,92.35,100,142,12,755.11,845.7232,120092.69440000001,Accepted
Mejia Stewart and Peck,Welded Wire Fence,2023-01-23,590.22,3.44,92.84,50,113,7,699.0000000000001,747.9300000000001,84516.09000000001,Accepted
Robinson Group,Welded Wire Fence,2023-03-19,601.47,3.17,95.05,75,86,12,718.4399999999999,804.6528,69200.1408,Negotiation
Bowen-Ward,Welded Wire Fence,2023-10-11,609.12,3.69,93.91,75,50,12,725.47,812.5264,40626.32,Accepted
Alvarado Group,Welded Wire Fence,2023-04-28,609.12,2.75,80.86,75,49,12,711.48,796.8576,39046.0224,Rejected
Shelton Ltd,Welded Wire Fence,2023-02-12,602.81,2.75,93.73,50,135,7,711.79,761.6152999999999,102818.0655,Rejected
Campbell Barker and Hall,Welded Wire Fence,2023-07-06,625.52,3.94,81.43,100,71,12,735.8900000000001,824.1968000000002,58517.97280000001,Negotiation
Ruiz Moore and Rivera,Welded Wire Fence,2023-05-30,603.45,3.6,87.79,75,42,12,713.59,799.2208,33567.2736,Accepted
Bailey-Harrison,Welded Wire Fence,2023-06-09,623.38,3.37,91.64,100,54,12,743.39,832.5968,44960.2272,Rejected
Bell-Ewing,Welded Wire Fence,2023-08-31,623.71,3.63,95.29,100,47,10,747.63,822.393,38652.471000000005,Accepted
Sanchez Group,Welded Wire Fence,2023-11-15,604.28,3.54,92.36,75,84,12,718.93,805.2016,67636.9344,Rejected
Parrish and Sons,Welded Wire Fence,2023-07-24,603.36,3.93,85.89,100,29,10,718.18,789.9979999999999,22909.942,Rejected
Newman Barnes and Hendrix,Welded Wire Fence,2023-02-27,590.96,2.56,99.88,50,41,12,705.9,790.608,32414.927999999996,Rejected
Alexander-Gallegos,Welded Wire Fence,2023-11-24,606.57,2.5,87.97,75,70,12,715.7900000000001,801.6848000000001,56117.93600000001,Rejected
Rodriguez Mitchell and Duncan,Welded Wire Fence,2023-11-07,609.95,3.8,91.93,75,12,12,724.4300000000001,811.3616000000001,9736.3392,Rejected
Garrison Ltd,Welded Wire Fence,2024-01-07,592.13,2.14,87.85,50,74,7,694.62,743.2434000000001,55000.011600000005,Accepted
Vaughn-Ramirez,Welded Wire Fence,2023-05-28,609.6,3.15,94.29,75,129,12,725.79,812.8847999999999,104862.13919999999,Negotiation
Barber PLC,Welded Wire Fence,2023-02-14,591.2,2.6,96.98,50,67,7,703.2800000000001,752.5096000000001,50418.143200000006,Rejected
Santiago-Sanders,Welded Wire Fence,2023-12-06,604.18,2.05,89.35,50,96,7,708.0799999999999,757.6456,72733.9776,Negotiation
Jenkins Ltd,Welded Wire Fence,2023-09-09,622.96,3.57,96.81,100,93,12,748.3400000000001,838.1408000000001,77947.09440000002,Negotiation
Hayden-Jones,Welded Wire Fence,2023-02-17,605.49,3.5,91.29,50,81,7,712.78,762.6745999999999,61776.64259999999,Negotiation
Dominguez LLC,Welded Wire Fence,2023-03-10,602.58,2.53,80.31,75,39,12,704.1700000000001,788.6704000000001,30758.145600000003,Accepted
Townsend-Evans,Welded Wire Fence,2023-05-23,600.87,2.18,91.07,75,29,12,712.8699999999999,798.4143999999999,23154.017599999996,Accepted
Gray Young and Williams,Welded Wire Fence,2023-08-12,634.91,2.18,80.49,100,111,12,742.5799999999999,831.6895999999999,92317.5456,Rejected
Hughes Walsh and Warner,Welded Wire Fence,2023-05-31,607.85,3.66,98.13,75,85,12,728.39,815.7968,69342.728,Negotiation
Banks-Johnson,Welded Wire Fence,2023-06-22,627.47,2.1,82.69,100,89,12,737.26,825.7312,73490.0768,Accepted
Pope Alvarado and Cox,Welded Wire Fence,2023-12-20,606.28,3.37,85.99,50,139,7,708.14,757.7098,105321.66219999999,Negotiation
Brewer PLC,Welded Wire Fence,2023-09-10,618.58,3.08,95.14,100,85,12,741.8000000000001,830.816,70619.36,Accepted
Franklin-Sanchez,Welded Wire Fence,2023-04-24,609.49,2.09,92.26,75,22,12,722.59,809.3008,17804.617599999998,Negotiation
Walsh-Roberts,Welded Wire Fence,2023-03-11,606.22,2.66,99.12,75,134,12,726.75,813.96,109070.64,Negotiation
Gibson Inc,Welded Wire Fence,2023-08-25,619.96,2.08,88.99,100,49,10,736.0300000000001,809.633,39672.017,Negotiation
Carlson Johnson and Taylor,Welded Wire Fence,2023-12-26,602.46,3.39,83.34,50,135,7,701.69,750.8083,101359.1205,Rejected
Petersen-Lopez,Welded Wire Fence,2023-11-25,600.01,3.37,81.26,75,13,12,703.39,787.7968,10241.3584,Accepted
Hodges King and Johnson,Welded Wire Fence,2024-01-06,602.66,2.63,93.6,50,29,12,711.39,796.7568,23105.9472,Accepted
White Campos and Cruz,Welded Wire Fence,2023-08-25,609.99,2.01,94.33,100,72,12,731.33,819.0896,58974.4512,Accepted
Harper Group,Welded Wire Fence,2023-04-29,608.82,2.59,97.59,75,93,12,727.7500000000001,815.0800000000002,75802.44000000002,Negotiation
Lee Hart and Lawrence,Welded Wire Fence,2023-03-26,601.7,3.09,95.37,75,115,12,718.9100000000001,805.1792,92595.60800000001,Accepted
Blackwell Inc,Welded Wire Fence,2023-04-21,603.7,3.72,95.41,75,99,12,721.58,808.1696000000001,80008.79040000001,Rejected
Ballard-Johnson,Welded Wire Fence,2023-06-15,612.64,2.2,81.8,100,63,12,721.64,808.2368,50918.9184,Accepted
Morris-Lane,Welded Wire Fence,2023-01-31,608.01,2.07,89.1,50,13,12,711.6800000000001,797.0816000000001,10362.060800000001,Rejected
Townsend Harris and Cox,Welded Wire Fence,2023-11-15,607.44,2.64,88.41,75,10,12,717.24,803.3088,8033.088,Rejected
Clark-Williams,Welded Wire Fence,2024-01-03,602.74,3.1,96.62,50,21,12,714.96,800.7552000000001,16815.859200000003,Rejected
Newman Simmons and Gallegos,Welded Wire Fence,2023-03-05,600.99,3.12,85.83,75,102,12,708.69,793.7328,80960.7456,Rejected
Patterson Sanchez and Spence,Welded Wire Fence,2023-08-12,620.79,2.52,93.92,100,18,10,742.2299999999999,816.4529999999999,14696.153999999997,Rejected
Lewis-Pitts,Welded Wire Fence,2023-06-17,603.97,3.4,88.41,100,16,10,720.78,792.858,12685.728,Negotiation
Vaughn Duran and Murray,Welded Wire Fence,2024-01-11,595.36,3.78,80.12,50,64,7,691.76,740.1831999999999,47371.724799999996,Accepted
Tran Wood and Hughes,Welded Wire Fence,2023-03-07,604.87,3.41,93.7,75,27,12,720.73,807.2176000000001,21794.875200000002,Accepted
Russell Group,Welded Wire Fence,2023-06-18,621.2,3.94,90.61,100,23,10,740.7500000000001,814.8250000000002,18740.975000000002,Rejected
Newton Ltd,Welded Wire Fence,2023-11-18,606.02,3.95,92.78,75,150,12,721.5,808.08,121212.0,Rejected
Kramer Group,Welded Wire Fence,2023-03-06,605.68,2.85,82.97,75,64,12,710.25,795.48,50910.72,Accepted
Montgomery LLC,Welded Wire Fence,2023-02-08,590.97,3.33,97.63,50,71,7,704.4300000000001,753.7401000000001,53515.5471,Rejected
Whitehead Inc,Welded Wire Fence,2023-12-15,595.96,2.75,93.27,50,86,7,704.48,753.7936,64826.249599999996,Rejected
Nash Ltd,Welded Wire Fence,2023-03-13,609.02,2.61,81.44,75,121,12,711.8199999999999,797.2384,96465.8464,Rejected
Lewis and Sons,Welded Wire Fence,2023-10-04,608.5,3.66,85.38,75,19,12,716.29,802.2447999999999,15242.651199999998,Accepted
Anderson Lowery and Soto,Welded Wire Fence,2023-12-23,606.88,3.45,94.5,50,28,12,717.33,803.4096000000001,22495.468800000002,Rejected
Pruitt Small and Olsen,Welded Wire Fence,2023-12-29,607.3,2.27,96.79,50,48,12,718.8599999999999,805.1231999999999,38645.91359999999,Negotiation
Kirby-George,Welded Wire Fence,2023-11-15,601.43,2.14,95.31,75,83,12,717.6299999999999,803.7455999999999,66710.88479999999,Rejected
Smith-Kramer,Welded Wire Fence,2023-07-17,631.12,3.39,90.07,100,26,10,749.5799999999999,824.5379999999999,21437.987999999998,Negotiation
Jackson-Davenport,Welded Wire Fence,2023-12-13,609.5,3.75,88.97,50,143,7,714.72,764.7504,109359.3072,Negotiation
Fisher Garner and Hardin,Welded Wire Fence,2023-03-25,609.32,3.69,99.47,75,10,12,731.2300000000001,818.9776000000002,8189.776000000002,Accepted
Kane Inc,Welded Wire Fence,2023-06-01,629.77,2.56,95.79,100,136,12,753.1199999999999,843.4943999999998,114715.23839999997,Rejected
Charles and Sons,Welded Wire Fence,2023-02-24,593.84,2.64,92.43,50,135,7,701.4100000000001,750.5087000000001,101318.67450000001,Accepted
Santos-Stark,Welded Wire Fence,2023-09-17,633.92,2.01,82.73,100,147,12,743.66,832.8992,122436.18239999999,Negotiation
Reynolds Carpenter and Bautista,Welded Wire Fence,2023-11-27,603.01,2.37,89.34,75,39,12,713.47,799.0864,31164.3696,Accepted
Scott Johnson and Williams,Welded Wire Fence,2023-07-11,610.76,2.82,99.68,100,59,12,738.26,826.8512,48784.220799999996,Accepted
Gonzalez Hogan and Herrera,Welded Wire Fence,2023-08-03,602.06,2.63,99.55,100,148,12,729.2399999999999,816.7487999999998,120878.82239999998,Accepted
Clark-Brown,Welded Wire Fence,2023-03-31,601.53,3.92,83.51,75,1,12,707.7099999999999,792.6351999999999,792.6351999999999,Accepted
Haley-Diaz,Welded Wire Fence,2023-04-08,603.73,3.9,84.97,75,106,12,711.35,796.712,84451.472,Accepted
